intake_year,intake_month,n_intakes
2013,10,1589
2013,11,1323
2013,12,1270
2014,1,1271
2014,2,1192
2014,3,1484
2014,4,1535
2014,5,1957
2014,6,1793
2014,7,1888
2014,8,1645
2014,9,1698
2014,10,1530
2014,11,1372
2014,12,1289
2015,1,1197
2015,2,1118
2015,3,1345
2015,4,1543
2015,5,2094
2015,6,2189
2015,7,1635
2015,8,1718
2015,9,1591
2015,10,1740
2015,11,1411
2015,12,1128
2016,1,1216
2016,2,1194
2016,3,1419
2016,4,1560
2016,5,2036
2016,6,1634
2016,7,1409
2016,8,1653
2016,9,1538
2016,10,1387
2016,11,1337
2016,12,1290
2017,1,1216
2017,2,1202
2017,3,1360
2017,4,1481
2017,5,1889
2017,6,1854
2017,7,1618
2017,8,1492
2017,9,1679
2017,10,1428
2017,11,1185
2017,12,1155
2018,1,1123
2018,2,1044
2018,3,1324
2018,4,1388
2018,5,1744
2018,6,1722
2018,7,1666
2018,8,1399
2018,9,1620
2018,10,1573
2018,11,1237
2018,12,1135
2019,1,1240
2019,2,1131
2019,3,1502
2019,4,1621
2019,5,2132
2019,6,2063
2019,7,1987
2019,8,1844
2019,9,1844
2019,10,1727
2019,11,1436
2019,12,1199
2020,1,1215
2020,2,1145
2020,3,882
2020,4,312
2020,5,483
2020,6,848
2020,7,780
2020,8,850
2020,9,872
2020,10,875
2020,11,676
2020,12,647
2021,1,568
2021,2,387
2021,3,83
